"cr2e2_cliftonstrengthsthemeid","cr2e2_domain","importsequencenumber","statuscode","statecode","cr2e2_themedescription","cr2e2_themename","timezoneruleversionnumber","utcconversiontimezonecode","versionnumber","owningbusinessunit"
"897e4d37-fbe0-4f4a-83e0-d86ed27ebff3","383620001","","1","0","People especially talented in the Woo theme love the challenge of meeting new people and winning them over. They derive satisfaction from breaking the ice and making a connection with someone.","Woo","","","6946206","f8c31966-e00b-f011-998b-000d3ad17a2e"
"64802790-4b35-499f-9f8f-5eabd9a45a06","383620003","","1","0","People especially talented in the Strategic theme create alternative ways to proceed. Faced with any given scenario, they can quickly spot the relevant patterns and issues.","Strategic","","","6946205","f8c31966-e00b-f011-998b-000d3ad17a2e"
"49b892f3-8418-4a65-8f50-8409e0d1e850","383620001","","1","0","People especially talented in the Significance theme want to be very important in the eyes of others. They are independent and want to be recognized.","Significance","","","6946204","f8c31966-e00b-f011-998b-000d3ad17a2e"
"15846664-d3a1-4af8-8d61-836b54794271","383620001","","1","0","People especially talented in the Self-Assurance theme feel confident in their ability to manage their own lives. They possess an inner compass that gives them confidence that their decisions are right.","Self-Assurance","","","6946203","f8c31966-e00b-f011-998b-000d3ad17a2e"
"5756acbc-e91b-4fbc-b07d-927f86c67491","383620000","","1","0","People especially talented in the Restorative theme are adept at dealing with problems. They are good at figuring out what is wrong and resolving it.","Restorative","","","6946202","f8c31966-e00b-f011-998b-000d3ad17a2e"
"f63dd60d-2a69-44a7-be1b-e9a73192a723","383620000","","1","0","People especially talented in the Responsibility theme take psychological ownership of what they say they will do. They are committed to stable values such as honesty and loyalty.","Responsibility","","","6946201","f8c31966-e00b-f011-998b-000d3ad17a2e"
"3d9ca2d8-c122-46a4-9f14-0bb94b4061ba","383620002","","1","0","People especially talented in the Relator theme enjoy close relationships with others. They find deep satisfaction in working hard with friends to achieve a goal.","Relator","","","6946200","f8c31966-e00b-f011-998b-000d3ad17a2e"
"28e70059-190f-4429-9c35-9bd0bd2fcee6","383620002","","1","0","People especially talented in the Positivity theme have an enthusiasm that is contagious. They are upbeat and can get others excited about what they are going to do.","Positivity","","","6946199","f8c31966-e00b-f011-998b-000d3ad17a2e"
"b26009c9-53f3-4dcd-8cc7-0dba1a72c394","383620001","","1","0","People especially talented in the Maximizer theme focus on strengths as a way to stimulate personal and group excellence. They seek to transform something strong into something superb.","Maximizer","","","6946198","f8c31966-e00b-f011-998b-000d3ad17a2e"
"4c7f0a8d-7d8a-47eb-9637-2e47aec1e6c6","383620003","","1","0","People especially talented in the Learner theme have a great desire to learn and want to continuously improve. The process of learning, rather than the outcome, excites them.","Learner","","","6946197","f8c31966-e00b-f011-998b-000d3ad17a2e"
